s_start,s_lat,s_lon,s_country,e_end,e_lat,e_lon,e_country
Brazil,-11,-53,Brazil,NorSun AS,61.236838,7.706991,Norway
Brazil,-11,-53,Brazil,Wacker Chemier,51.298992,13.39515,Germany
Brazil,-11,-53,Brazil,Hemlock,43.436264,-84.160654,United States of America
Brazil,-11,-53,Brazil,Wacker Polysilicon,35.283907,-84.796076,United States of America
Brazil,-11,-53,Brazil,REC Silicon ASA,59.90261,10.631623,Norway
Brazil,-11,-53,Brazil,REC Silicon,47.134918,-119.198713,United States of America
Brazil,-11,-53,Brazil,REC Silicon,45.970868,-112.688913,United States of America
Brazil,-11,-53,Brazil,OCI Plant,35.979712,126.662835,South Korea
Brazil,-11,-53,Brazil,OCI Malaysia,3.544446,113.305171,Malaysia
India,21,77,India,NorSun AS,61.236838,7.706991,Norway
India,21,77,India,Wacker Chemier,51.298992,13.39515,Germany
India,21,77,India,Hemlock,43.436264,-84.160654,United States of America
India,21,77,India,Wacker Polysilicon,35.283907,-84.796076,United States of America
India,21,77,India,REC Silicon ASA,59.90261,10.631623,Norway
India,21,77,India,REC Silicon,47.134918,-119.198713,United States of America
India,21,77,India,REC Silicon,45.970868,-112.688913,United States of America
India,21,77,India,OCI Plant,35.979712,126.662835,South Korea
India,21,77,India,OCI Malaysia,3.544446,113.305171,Malaysia
China,35,103,China,NorSun AS,61.236838,7.706991,Norway
China,35,103,China,Wacker Chemier,51.298992,13.39515,Germany
China,35,103,China,Hemlock,43.436264,-84.160654,United States of America
China,35,103,China,Wacker Polysilicon,35.283907,-84.796076,United States of America
China,35,103,China,REC Silicon ASA,59.90261,10.631623,Norway
China,35,103,China,REC Silicon,47.134918,-119.198713,United States of America
China,35,103,China,REC Silicon,45.970868,-112.688913,United States of America
China,35,103,China,OCI Plant,35.979712,126.662835,South Korea
China,35,103,China,OCI Malaysia,3.544446,113.305171,Malaysia
Turkey,39,36,Turkey,NorSun AS,61.236838,7.706991,Norway
Turkey,39,36,Turkey,Wacker Chemier,51.298992,13.39515,Germany
Turkey,39,36,Turkey,Hemlock,43.436264,-84.160654,United States of America
Turkey,39,36,Turkey,Wacker Polysilicon,35.283907,-84.796076,United States of America
Turkey,39,36,Turkey,REC Silicon ASA,59.90261,10.631623,Norway
Turkey,39,36,Turkey,REC Silicon,47.134918,-119.198713,United States of America
Turkey,39,36,Turkey,REC Silicon,45.970868,-112.688913,United States of America
Turkey,39,36,Turkey,OCI Plant,35.979712,126.662835,South Korea
Turkey,39,36,Turkey,OCI Malaysia,3.544446,113.305171,Malaysia
Spain,40,-3,Spain,NorSun AS,61.236838,7.706991,Norway
Spain,40,-3,Spain,Wacker Chemier,51.298992,13.39515,Germany
Spain,40,-3,Spain,Hemlock,43.436264,-84.160654,United States of America
Spain,40,-3,Spain,Wacker Polysilicon,35.283907,-84.796076,United States of America
Spain,40,-3,Spain,REC Silicon ASA,59.90261,10.631623,Norway
Spain,40,-3,Spain,REC Silicon,47.134918,-119.198713,United States of America
Spain,40,-3,Spain,REC Silicon,45.970868,-112.688913,United States of America
Spain,40,-3,Spain,OCI Plant,35.979712,126.662835,South Korea
Spain,40,-3,Spain,OCI Malaysia,3.544446,113.305171,Malaysia
Indonesia,-2,118,Indonesia,NorSun AS,61.236838,7.706991,Norway
Indonesia,-2,118,Indonesia,Wacker Chemier,51.298992,13.39515,Germany
