s_city_id,s_start,s_lat,s_lon,s_country,s_Volume,e_city_id,e_end,e_lat,e_lon,e_country,e_vol
238,Brazil,-11,-53,Brazil,291099,1,NorSun AS,61.236838,7.706991,Norway,1
238,Brazil,-11,-53,Brazil,291099,2,Wacker Chemier,51.298992,13.39515,Germany,1
238,Brazil,-11,-53,Brazil,291099,3,Hemlock,43.436264,-84.160654,United States of America,1
238,Brazil,-11,-53,Brazil,291099,4,Wacker Polysilicon,35.283907,-84.796076,United States of America,1
238,Brazil,-11,-53,Brazil,291099,5,REC Silicon ASA,59.90261,10.631623,Norway,1
238,Brazil,-11,-53,Brazil,291099,6,REC Silicon,47.134918,-119.198713,United States of America,1
238,Brazil,-11,-53,Brazil,291099,7,REC Silicon,45.970868,-112.688913,United States of America,1
238,Brazil,-11,-53,Brazil,291099,8,OCI Plant,35.979712,126.662835,South Korea,1
238,Brazil,-11,-53,Brazil,291099,9,OCI Malaysia,3.544446,113.305171,Malaysia,1
623,India,21,77,India,302064,10,NorSun AS,61.236838,7.706991,Norway,1
623,India,21,77,India,302064,11,Wacker Chemier,51.298992,13.39515,Germany,1
623,India,21,77,India,302064,12,Hemlock,43.436264,-84.160654,United States of America,1
623,India,21,77,India,302064,13,Wacker Polysilicon,35.283907,-84.796076,United States of America,1
623,India,21,77,India,302064,14,REC Silicon ASA,59.90261,10.631623,Norway,1
623,India,21,77,India,302064,15,REC Silicon,47.134918,-119.198713,United States of America,1
623,India,21,77,India,302064,16,REC Silicon,45.970868,-112.688913,United States of America,1
222,India,21,77,India,400017,17,OCI Plant,35.979712,126.662835,South Korea,1
222,India,21,77,India,400017,18,OCI Malaysia,3.544446,113.305171,Malaysia,1
222,China,35,103,China,400017,19,NorSun AS,61.236838,7.706991,Norway,1
222,China,35,103,China,400017,20,Wacker Chemier,51.298992,13.39515,Germany,1
222,China,35,103,China,400017,21,Hemlock,43.436264,-84.160654,United States of America,1
222,China,35,103,China,400017,22,Wacker Polysilicon,35.283907,-84.796076,United States of America,1
657,China,35,103,China,645321,23,REC Silicon ASA,59.90261,10.631623,Norway,1
657,China,35,103,China,645321,24,REC Silicon,47.134918,-119.198713,United States of America,1
657,China,35,103,China,645321,25,REC Silicon,45.970868,-112.688913,United States of America,1
657,China,35,103,China,645321,26,OCI Plant,35.979712,126.662835,South Korea,1
657,China,35,103,China,645321,27,OCI Malaysia,3.544446,113.305171,Malaysia,1
657,Turkey,39,36,Turkey,645321,28,NorSun AS,61.236838,7.706991,Norway,1
