s_city_id,s_start,s_lat,s_lon,s_country,s_Volume,e_city_id,e_end,e_lat,e_lon,e_country,e_vol
238,NorSun AS,61.236838,7.706991,Norway,291099,1,France,45.816077,4.726069,France,1
238,NorSun AS,61.236838,7.706991,Norway,291099,2,Fab 4,14.27618,121.135141,Philipines,1
238,NorSun AS,61.236838,7.706991,Norway,291099,3,Fab 2,14.137501,121.135141,Philipines,1
238,NorSun AS,61.236838,7.706991,Norway,291099,4,Brighton,-37.905482,144.999517,Australia,1
238,NorSun AS,61.236838,7.706991,Norway,291099,5,Richmond,37.910501,-122.358354,United States of America,1
238,NorSun AS,61.236838,7.706991,Norway,291099,6,San Jose,37.404787,-121.946716,United States of America,1
238,NorSun AS,61.236838,7.706991,Norway,291099,7,Cape Town,-33.968293,18.576651,South Africa,1
238,NorSun AS,61.236838,7.706991,Norway,291099,8,TEMASOL,33.998192,-6.846631,Morocco,1
238,NorSun AS,61.236838,7.706991,Norway,291099,9,Modco,14.27815,121.065836,Philipines,1
238,NorSun AS,61.236838,7.706991,Norway,302064,10,Mexicali,32.622782,-115.532608,Mexico,1
238,NorSun AS,61.236838,7.706991,Norway,302064,11,Malaysia,2.34049,102.21123,Malaysia,1
238,NorSun AS,61.236838,7.706991,Norway,302064,12,Toulouse,43.601634,1.358577,France,1
238,NorSun AS,61.236838,7.706991,Norway,302064,13,De Vernejoul,49.168314,6.660245,France,1
623,Wacker Chemier,51.298992,13.39515,Germany,302064,14,France,45.816077,4.726069,France,1
623,Wacker Chemier,51.298992,13.39515,Germany,302064,15,Fab 4,14.27618,121.135141,Philipines,1
623,Wacker Chemier,51.298992,13.39515,Germany,302064,16,Fab 2,14.137501,121.135141,Philipines,1
623,Wacker Chemier,51.298992,13.39515,Germany,302064,17,Brighton,-37.905482,144.999517,Australia,1
623,Wacker Chemier,51.298992,13.39515,Germany,302064,18,Richmond,37.910501,-122.358354,United States of America,1
623,Wacker Chemier,51.298992,13.39515,Germany,400017,19,San Jose,37.404787,-121.946716,United States of America,1
623,Wacker Chemier,51.298992,13.39515,Germany,400017,20,Cape Town,-33.968293,18.576651,South Africa,1
623,Wacker Chemier,51.298992,13.39515,Germany,400017,21,TEMASOL,33.998192,-6.846631,Morocco,1
623,Wacker Chemier,51.298992,13.39515,Germany,400017,22,Modco,14.27815,121.065836,Philipines,1
623,Wacker Chemier,51.298992,13.39515,Germany,400017,23,Mexicali,32.622782,-115.532608,Mexico,1
623,Wacker Chemier,51.298992,13.39515,Germany,400017,24,Malaysia,2.34049,102.21123,Malaysia,1
